Title,Description,Subject,Date,Collection,Institution,Thumbnail,Link
Comprehensive Condition Survey,,Breakwaters -- California -- Crescent City,1988-04-01T08:00:00Z,Special Collections Archived Publications,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/document.png,https://digitalcommons.humboldt.edu/archivepub/2
Gad Zukes! Zucchini Recipies from Humboldt County Cooks,,Cooking ; American,1980-01-01T08:00:00Z,Special Collections Archived Publications,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/document.png,https://digitalcommons.humboldt.edu/archivepub/3
Wing Hing vs The City of Eureka,"The papers from a court case, eventually dismissed, that was brought by Chinese citizens living in Eureka, California who were shipped off to San Francisco following racially charged anti-Chinese riots. The anti-Chinese sentiments would be enforced for sixty years.","Chinese -- United States -- History -- 19th century -- California -- History -- 19th century ; Racism -- Law and legislation -- United States -- History -- 19th century ; Race discrimination ; Eureka (Calif.) ; Humboldt County (Calif.) ; Asian American Studies ; History ; Law ; Race, Ethnicity and Post-Colonial Studies",1886-01-01T08:00:00Z,Special Collections Archived Publications,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/document.png,https://digitalcommons.humboldt.edu/archivepub/11
"Recent sediments of Humboldt Bay, Eureka, California","Humboldt Bay is a coastal lagoon, 14 mi. long and a maximum of 4 mi. wide. The bay has three distinct segments, South, Entrance, and Arcata Bays, each of which occupies the seaward end of one or more stream valleys cut into Plio- Pleistocene paralic sediments. The segments are linked by narrow tidal channels which are bounded by a barrier spit on the west and by high valley interfluves on the east. Climate of the area is rainy temperate . Tides are of the mixed type with a mean range of 6.5 ft.
Textural variations of the surface sediments in South and Arcata Bays correlate generally with bay-floor morphology. Bottoms of the inward branching tidal channels are covered by gravelly, shelly sand which becomes finer and more muddy with increasing distance from t he tidal inlet. Clayey silt predominates on the tidal flats, and highly organic silty clay or clayey peat occurs in the few remaining salt marshes. Tidal flat sediments are olive gray to black and thoroughly stirred by the rich bay infauna. The general pattern of decreasing grain size with increased elevation and distance away from the inlet is controlled by tidal currents. Exceptions to the general pattern and marked textural differences between tidal flat sediments in various of the bay segments result from: direct sediment discharge by entering streams, variable intensi ty of wave action, corrmercial oyster harvesting, and variations in flushing time. Dredged channels have larger components of both gravel and mud than their undredged counterparts.
Study of old maps and aerial photographs coupled with nearly ubiquitous evidence of marsh erosion indicate the bay is in approximate equilibrium, that is, filling at rates the order of 0.2-0.4 cm/yr commensurate with relative sea level rise. Most of the sediment comes indirectly from the Eel and Mad Rivers by way of littoral and tidal currents . Direct measurements show local accretion and erosion rates up to 4 cm/ yr and 11 cm/yr respectively. These fluctuate on a seasonal basis in response to alternating wind-wave patterns and reflect 'in-bay' relocation of materials.
Presence of extensive tidal flats and salt marsh imply former higher rates of accretion and bay infill. The recent change toward equilibrium conditions may relate to sediment removal by dredging and/or to a reduction in sed iment supply caused by northward shift of the Mad River course.",Oceanography -- California -- Humboldt Bay ; Sedimentation and deposition ; Humboldt Bay (Calif.) ; Pacific Ocean -- Humboldt Bay ; Environmental Sciences ; Geography ; Natural Resources and Conservation ; Oceanography,1971-01-01T08:00:00Z,Special Collections Archived Publications,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/document.png,https://digitalcommons.humboldt.edu/archivepub/12
"An anthropological expedition of 1913, or, Get it through your head, or, Yours for the revolution : correspondence between A.L. Kroeber and L.L. Loud, July 12, 1913-October 31, 1913","Correspondence between A. L. Kroeber and L. L. Loud regarding archeology and ethnographic work around Humboldt Bay related to the Wiyot people. Photocopies of letters originally published at the Archaeological Research Facility, Department of Anthropology, University of California Berkeley in 1970.","Wiyot ; Tuluwat Island ; Humboldt Bay ; Humboldt County ; Indian Island ; Gunther Island ; Excavations ; Archaelogy ; Indians of North America ; Native Americans ; Correspondence ; Indigenous Studies ; Native American Studies ; Other History of Art, Architecture, and Archaeology ; United States History",1970-01-01T08:00:00Z,Books and Other Publications,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/document.png,https://digitalcommons.humboldt.edu/speccoll_mono/1
"List of the names and registration of the domiciled inhabitants of the County of Humboldt : copies from the Great register of Humboldt County, October 7th, 1884",,Voting Register ; Humboldt County,1884-10-07T08:00:00Z,Books and Other Publications,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/document.png,https://digitalcommons.humboldt.edu/speccoll_mono/2
The History of the Trinity Highway: A Study in Transportation Dynamics,"Although the primary focus of this thesis is a history of California 299--the Trinity Highway, I have studied the construction of that road in the context of the history of transportation between Weaverville and Humboldt Bay. The history of a transportation network is not only a history of connections between people and places but also, in this remote region, the vital link connecting wilderness with civilization.
Ever since the settlement of the Weaverville area in 1848, its residents have sought reliable transportation to Humboldt Bay's seaport and merchandise. During this period a road has connected these two places for less than half that time; only since 1923 has it been possible to travel by road from the sea inland to the seat of Trinity County. Consequently a history of the Trinity Highway must include sufficient background to explain the delay in building this route, despite the acknowledged need for such an artery by the area's residents and both local and state governments. Thus when I refer to the Trinity Highway, I am, in fact , alluding to the more general concept of a transportation link that directly connects the two areas.
This thesis attempts to accomplish the following goals: 1) present a history of the development of transportation within the Humboldt-Trinity cultural and physical landscape; iv 2) analyze the dynamics of route location with an emphasis on the construction of Highway 299; and 3) show and explain the significance of the highway on economic and cultural patterns.
A history of a road connotes a description of the labor, materials, and mechanical construction of the route. While construction techniques and problems are discussed, prefer to study the history of transportation from a more humanistic approach. By determining the needs and desires of the population in relation to actual transportation improvements over time, I can reconstruct and interpret much of the region's cultural and economic history.
While, in a sense, this thesis is a regional history, the study will be limited exclusively to the effects of transportation on the population and communities within the thoroughfare's area. Before the highway was completed in 1923, the transportation link was more diffuse, involving numerous mule trails and various attempts at constructing private toll roads and railways. Thus this thesis begins with a general description of the region's pioneering transportation, and just as the road caused travelers to funnel into a narrow path, this paper then narrows its focus and concentrates on today's Trinity Highway.","299 ; Humboldt County ; Trinity County ; Highway ; Weaverville ; Arcata ; mining ; Geological Engineering ; Mining Engineering ; Transportation Engineering ; Urban, Community and Regional Planning",1990-05-01T07:00:00Z,Books and Other Publications,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/document.png,https://digitalcommons.humboldt.edu/speccoll_mono/3
Celebration of Water Otter,Bid#: 88,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/4,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/4
Bella,Bid#: 41,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/9,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/9
Airanna,Bid#: 67,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/14,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/14
Dungeness Otter,Bid#: 35,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/19,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/19
Thule,"LOT: 24 ; The design for Thule (pronounced too-lee) came from my own love
for travel, adventure, a good hike, or a long trail run. My husband and
I travel full time in our RV�by living with less it allows more time for
adventures. National Parks hold a special place in our lives; so Thule
is prepared for adventure with his backpack, and snacks! As we've
been traveling, I have really grasped the importance of protecting
and preserving our national parks, public lands and waterways.
I painted Thule as a walking billboard, promoting healthy habitats
and preservation of these wonderful places through various patches
on his backpack. I, too, collect patches as we travel, so it only seemed
natural to incorporate them into my otter design. Most are serious,
but take a look�there are some fun ones, too! The name Thule is
in memory of our dog, he was a great adventure buddy!
Briana is author/illustrator for Baby Ranger Books.",Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/24,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/24
Íshaha Uum Imyáahti (Water is Life),Bid#: 85 ; Karuk/Yurok/Hupa,Sculpture ; Public sculpture ; Wood sculpture--Exhibitions ; Wood carvings ; Public art--Exhbitions ; Art ; Exhbitions ; Humboldt County (Calif.)--Public art ; Otters,,Digital Collection,Cal Poly Humboldt Special Collections,https://cdm16166.contentdm.oclc.org/utils/getthumbnail/collection/otters/id/29,https://cdm16166.contentdm.oclc.org/digital/collection/otters/id/29
